@(19, 0x02000000, 0x20000000, -1.11079e-05, 0.0)
@(19, 0x04000000, 0x40000000, 6.0005e-06, 0.0)
@(19, 0x08000000, 0x80000000, 1.77324e-05, 0.0)
@(19, 0x00100000, 0x00100000, -3.49637e-05, 0.0)
@(19, 0x00200000, 0x00200000, 1.9269e-06, 0.0)
@(19, 0x00400000, 0x00400000, -6.1216e-06, 0.0)
@(19, 0x00800000, 0x00800000, 6.929039955e-07, 0.0)
@(19, 0x00001000, 0x00000100, 2.8685e-06, 0.0)
@(19, 0x00002000, 0x00000200, 2.76547e-05, 0.0)
@(19, 0x00004000, 0x00000400, -2.25957e-05, 0.0)
@(19, 0x00008000, 0x00000800, 8.7302e-06, 0.0)
@(19, 0x00000100, 0x00001000, 1.65291e-05, 0.0)
@(19, 0x00000200, 0x00002000, -1.11079e-05, 0.0)
@(19, 0x00000400, 0x00004000, 6.0005e-06, 0.0)
@(19, 0x00000800, 0x00008000, 1.77324e-05, 0.0)
@(19, 0x00000010, 0x00000010, -3.49637e-05, 0.0)
@(19, 0x00000020, 0x00000020, 1.9269e-06, 0.0)
@(19, 0x00000040, 0x00000040, -6.1216e-06, 0.0)
@(19, 0x00000080, 0x00000080, 6.929039955e-07, 0.0)
@(20, 0x10000000, 0x01000000, 9.9828e-06, 0.0)
@(20, 0x20000000, 0x02000000, -1.6866e-06, 0.0)
@(20, 0x40000000, 0x04000000, -1.57859e-05, 0.0)
@(20, 0x80000000, 0x08000000, 2.5779e-05, 0.0)
@(20, 0x01000000, 0x10000000, 2.1467e-05, 0.0)
@(20, 0x02000000, 0x20000000, 3.7774e-06, 0.0)
@(20, 0x04000000, 0x40000000, -1.04336e-05, 0.0)
@(20, 0x08000000, 0x80000000, 1.51899e-05, 0.0)
@(20, 0x00100000, 0x00100000, 1.96677e-05, 0.0)
@(20, 0x00200000, 0x00200000, 1.16946e-05, 0.0)
@(20, 0x00400000, 0x00400000, -1.09533e-05, 0.0)
@(20, 0x00800000, 0x00800000, 1.36923e-05, 0.0)
@(20, 0x00001000, 0x00000100, 9.9828e-06, 0.0)
@(20, 0x00002000, 0x00000200, -1.6866e-06, 0.0)
@(20, 0x00004000, 0x00000400, -1.57859e-05, 0.0)
@(20, 0x00008000, 0x00000800, 2.5779e-05, 0.0)
@(20, 0x00000100, 0x00001000, 2.1467e-05, 0.0)
@(20, 0x00000200, 0x00002000, 3.7774e-06, 0.0)
@(20, 0x00000400, 0x00004000, -1.04336e-05, 0.0)
@(20, 0x00000800, 0x00008000, 1.51899e-05, 0.0)
@(20, 0x00000010, 0x00000010, 1.96677e-05, 0.0)
@(20, 0x00000020, 0x00000020, 1.16946e-05, 0.0)
@(20, 0x00000040, 0x00000040, -1.09533e-05, 0.0)
@(20, 0x00000080, 0x00000080, 1.36923e-05, 0.0)
